MID,PMID,Journal_name,JIF,Conclusion,Model_Name,Model_Type,AUC_value,AUC,Specificity,Sensitivity,Accuracy,Research_Type,Involved_Factors,Year,Year_value,Area,Country,Cancer_Type,Abstract
1,30309858,Clin Cancer Res,10,"This study demonstrates that automatic deep learning CNN methods can identify nuanced mammographic imaging features to distinguish recalled-benign images from malignant and negative cases, which may lead to a computerized clinical toolkit to help reduce false recalls.",Aboutalib_3715,Deep Learning Convolutional Neural Network (cnn) Models,0.77-0.96,more than 0.8,,,,development,Mammography Images,in recent 10 years,2018,America,USA,Breast Cancer,"Purpose: False positives in digital mammography screening lead to high recall rates, resulting in unnecessary medical procedures to patients and health care costs. This study aimed to investigate the revolutionary deep learning methods to distinguish recalled but benign mammography images from negative exams and those with malignancy.
Experimental design: Deep learning convolutional neural network (CNN) models were constructed to classify mammography images into malignant (breast cancer), negative (breast cancer free), and recalled-benign categories. A total of 14,860 images of 3,715 patients from two independent mammography datasets: Full-Field Digital Mammography Dataset (FFDM) and a digitized film dataset, Digital Dataset of Screening Mammography (DDSM), were used in various settings for training and testing the CNN models. The ROC curve was generated and the AUC was calculated as a metric of the classification accuracy.
Results: Training and testing using only the FFDM dataset resulted in AUC ranging from 0.70 to 0.81. When the DDSM dataset was used, AUC ranged from 0.77 to 0.96. When datasets were combined for training and testing, AUC ranged from 0.76 to 0.91. When pretrained on a large nonmedical dataset and DDSM, the models showed consistent improvements in AUC ranging from 0.02 to 0.05 (all P > 0.05), compared with pretraining only on the nonmedical dataset.
Conclusions: This study demonstrates that automatic deep learning CNN methods can identify nuanced mammographic imaging features to distinguish recalled-benign images from malignant and negative cases, which may lead to a computerized clinical toolkit to help reduce false recalls."
2,29621362,JAMA Oncol,22.5,"Breast cancer risk assessment combining classic risk factors with mammographic densitymay provide useful data for 10years or more and could be used to guide long-term, systematic, risk-adapted screening and prevention strategies.",Tyrer-Cuzick model,Other,,,,,,validation,"Age At Birth Of First Child,age At Menarche,no. Of Affected First-degree Relatives,age At Menopause,no. Of Previous Breast Biopsies,benign Disease,premenopausal Body Mass Index,postmenopausal Body Mass Index,height,bi-rads Density",in recent 10 years,2018,America,USA,Breast Cancer,"Importance: Accurate long-term breast cancer risk assessment for women attending routine screening could help reduce the disease burden and intervention-associated harms by personalizing screening recommendations and preventive interventions.
Objective: To report the accuracy of risk assessment for breast cancer during a period of 19 years.
Design, setting, and participants: This cohort study of the Kaiser Permanente Washington breast imaging registry included women without previous breast cancer, aged 40 to 73 years, who attended screening from January 1, 1996, through December 31, 2013. Follow-up was completed on December 31, 2014, and data were analyzed from March 2, 2016, through November 13, 2017.
Exposures: Risk factors from a questionnaire and breast density from the Breast Imaging and Reporting Data System at entry; primary risk was assessed using the Tyrer-Cuzick model.
Main outcomes and measures: Incidence of invasive breast cancer was estimated with and without breast density. Follow-up began 6 months after the entry mammogram and extended to the earliest diagnosis of invasive breast cancer, censoring at 75 years of age, 2014, diagnosis of ductal carcinoma in situ, death, or health plan disenrollment. Observed divided by expected (O/E) numbers of cancer cases were compared using exact Poisson 95% CIs. Hazard ratios for the top decile of 10-year risk relative to the middle 80% of the study population were estimated. Constancy of relative risk calibration during follow-up was tested using a time-dependent proportional hazards effect.
Results: In this cohort study of 132 139 women (median age at entry, 50 years; interquartile range, 44-58 years), 2699 invasive breast cancers were subsequently diagnosed after a median 5.2 years of follow-up (interquartile range, 2.4-11.1 years; maximum follow-up, 19 years; annual incidence rate [IR] per 1000 women, 2.9). Observed number of cancer diagnoses was close to the expected number (O/E for the Tyrer-Cuzick model, 1.02 [95% CI, 0.98-1.06]; O/E for the Tyrer-Cuzick model with density, 0.98 [95% CI, 0.94-1.02]). The Tyrer-Cuzick model estimated 2554 women (1.9%) to be at high risk (10-year risk of 鈮8%), of whom 147 subsequently developed invasive breast cancer (O/E, 0.79; 95% CI, 0.67-0.93; IR per 1000 women, 8.7). The Tyrer-Cuzick model with density estimated more women to be at high risk (4645 [3.5%]; 273 cancers [10.1%]; O/E, 0.78; 95% CI, 0.69-0.88; IR per 1000 women, 9.2). The hazard ratio for the highest risk decile compared with the middle 80% was 2.22 (95% CI, 2.02-2.45) for the Tyrer-Cuzick model and 2.55 (95% CI, 2.33-2.80) for the Tyrer-Cuzick model with density. Little evidence was found for a decrease in relative risk calibration throughout follow-up for the Tyrer-Cuzick model (age-adjusted slope, -0.003; 95% CI, -0.018 to 0.012) or the Tyrer-Cuzick model with density (age-adjusted slope, -0.008; 95% CI, -0.020 to 0.004).
Conclusions and relevance: Breast cancer risk assessment combining classic risk factors with mammographic density may provide useful data for 10 years or more and could be used to guide long-term, systematic, risk-adapted screening and prevention strategies."
3,29344741,Breast Cancer Res Treat,3,"The risk prediction model indicates that the following variables should be assessed in this specific population: age, height, having had previous breast biopsies, number of pregnancies, and use of hormone replacement therapy. These findings may help to better understand the causal model of breast cancer in Southern Brazil.",Breyer_4242,Logistic Regression,,,,,,development,"Age,weight, Height, Positive Familly History, Having Had Previous Breast Biopsies,number Of Pregnancies,use Of Hormone Replacement Therapy",in recent 10 years,2018,America,Brazil,Breast Cancer,"Purpose: The aim of this study is to assess potential risk factors for breast cancer in a population in Southern Brazil and build a multivariate logistic model using these factors for breast cancer risk prediction.
Methods: A total of 4242 women between 40 and 69 years of age without a history of breast cancer were selected at primary healthcare facilities in Porto Alegre and submitted to mammographic screening. They were evaluated for potential risk factors.
Results: In all, 73 participants among the 4242 women had a breast cancer diagnosis during the follow-up of the project (10 years). The multivariate analysis considering all the patients aged 40-69 years showed that older age (OR 1.08, 95% CI 1.04-1.12), higher height (OR 1.04, 95% CI 1.01-1.09), and history of previous breast biopsy (OR 2.66, 95% CI 1.38-5.13) were associated with the development of breast cancer. Conversely, the number of pregnancies (OR 0.87, 95% CI 0.78-0.98) and use of hormone replacement therapy (OR 0.39, 95% CI 0.20-0.75) were considered a protective factor. Additionally, we performed an analysis separating the participants into groups of 40-49 and 50-69 years old, since a risk factor could have a specific behavior in these age groups. No additional risk factors were identified within these age brackets, and some factors lost statistical significance.
Conclusion: The risk prediction model indicates that the following variables should be assessed in this specific population: age, height, having had previous breast biopsies, number of pregnancies, and use of hormone replacement therapy. These findings may help to better understand the causal model of breast cancer in Southern Brazil."
4,29667606,Phys Med Biol,3.3,"Thus, this study demonstrated that CAD-generated false-positives might include valuable information, which needs to be further explored for identifying and/or developing more effective imaging markers for predicting short-term breast cancer risk.",Mirniaharikandehei_1044,Logistic Regression,0.633-0.667,,0.88,0.276,,development,"The Total Number Of Initial Detection Seeds,the Final Detected False-positive Regions,average Detection Scores,sum Of Detection Scores",in recent 10 years,2018,America,USA,Breast Cancer,"This study aims to investigate the feasibility of identifying a new quantitative imaging marker based on false-positives generated by a computer-aided detection (CAD) scheme to help predict short-term breast cancer risk. An image dataset including four view mammograms acquired from 1044 women was retrospectively assembled. All mammograms were originally interpreted as negative by radiologists. In the next subsequent mammography screening, 402 women were diagnosed with breast cancer and 642 remained negative. An existing CAD scheme was applied 'as is' to process each image. From CAD-generated results, four detection features including the total number of (1) initial detection seeds and (2) the final detected false-positive regions, (3) average and (4) sum of detection scores, were computed from each image. Then, by combining the features computed from two bilateral images of left and right breasts from either craniocaudal or mediolateral oblique view, two logistic regression models were trained and tested using a leave-one-case-out cross-validation method to predict the likelihood of each testing case being positive in the next subsequent screening. The new prediction model yielded the maximum prediction accuracy with an area under a ROC curve of AUC = 0.65 卤 0.017 and the maximum adjusted odds ratio of 4.49 with a 95% confidence interval of (2.95, 6.83). The results also showed an increasing trend in the adjusted odds ratio and risk prediction scores (p < 0.01). Thus, this study demonstrated that CAD-generated false-positives might include valuable information, which needs to be further explored for identifying and/or developing more effective imaging markers for predicting short-term breast cancer risk."
5,29574637,Breast Cancer Res Treat,3,"With this independent validation, CBCRisk can be used confidently in clinical settings for counseling BC patients by providing their individualized CBC risk. In turn, this may potentially help alleviate the rate of medically unnecessary CPMs.",CBCRisk,Other,0.61-0.65,,,,,validation,"Age At First Diagnosis,anti-estrogen Therapy,family History,high-risk Pre-neoplasia,breast Density,er Status,first Bc Type,age At First Birth",in recent 10 years,2018,America,USA,Breast Cancer,"Purpose: Women diagnosed with unilateral breast cancer are increasingly choosing to remove their other unaffected breast through contralateral prophylactic mastectomy (CPM) to reduce the risk of contralateral breast cancer (CBC). Yet a large proportion of CPMs are believed to be medically unnecessary. Thus, there is a pressing need to educate patients effectively on their CBC risk. We had earlier developed a CBC risk prediction model called CBCRisk based on eight personal risk factors.
Methods: In this study, we validate CBCRisk on independent clinical data from the Johns Hopkins University (JH) and MD Anderson Cancer Center (MDA). Women whose first breast cancer diagnosis was either invasive and/or ductal carcinoma in situ and whose age at first diagnosis was between 18 and 88 years were included in the cohorts because CBCRisk was developed specifically for these women. A woman who develops CBC is called a case whereas a woman who does not is called a control. The cohort sizes are 6035 (with 117 CBC cases) for JH and 5185 (with 111 CBC cases) for MDA. We computed the relevant calibration and validation measures for 3- and 5-year risk predictions.
Results: We found that the model performs reasonably well for both cohorts. In particular, area under the receiver-operating characteristic curve for the two cohorts range from 0.61 to 0.65.
Conclusions: With this independent validation, CBCRisk can be used confidently in clinical settings for counseling BC patients by providing their individualized CBC risk. In turn, this may potentially help alleviate the rate of medically unnecessary CPMs."
6,29607263,PeerJ,2.3,"Our findings suggested that suitable modeling can effectively reduce the number of miRNAs required in a biomarker panel without compromising prediction accuracy, thereby increasing the technical possibility of early detection of BC.",Cui_3974,Neural Network Cascade (nnc) Modeling,,,,,97.10%,development,"Mir-1246,mir-6756-5p,mir-8073",in recent 10 years,2018,America,USA,Breast Cancer,"Prolonged life expectancy in humans has been accompanied by an increase in the prevalence of cancers. Breast cancer (BC) is the leading cause of cancer-related deaths. It accounts for one-fourth of all diagnosed cancers and affects one in eight females worldwide. Given the high BC prevalence, there is a practical need for demographic screening of the disease. In the present study, we re-analyzed a large microRNA (miRNA) expression dataset (GSE73002), with the goal of optimizing miRNA biomarker selection using neural network cascade (NNC) modeling. Our results identified numerous candidate miRNA biomarkers that are technically suitable for BC detection. We combined three miRNAs (miR-1246, miR-6756-5p, and miR-8073) into a single panel to generate an NNC model, which successfully detected BC with 97.1% accuracy in an independent validation cohort comprising 429 BC patients and 895 healthy controls. In contrast, at least seven miRNAs were merged in a multiple linear regression model to obtain equivalent diagnostic performance (96.4% accuracy in the independent validation set). Our findings suggested that suitable modeling can effectively reduce the number of miRNAs required in a biomarker panel without compromising prediction accuracy, thereby increasing the technical possibility of early detection of BC."
7,29607263,PeerJ,2.3,"Our findings suggested that suitable modeling can effectively reduce the number of miRNAs required in a biomarker panel without compromising prediction accuracy, thereby increasing the technical possibility of early detection of BC.",Cui_3974,Multiple Linear Regression Model,,,,,96.40%,development,"Mir-1246,mir-6756-5p,mir-8073",in recent 10 years,2018,America,USA,Breast Cancer,"Prolonged life expectancy in humans has been accompanied by an increase in the prevalence of cancers. Breast cancer (BC) is the leading cause of cancer-related deaths. It accounts for one-fourth of all diagnosed cancers and affects one in eight females worldwide. Given the high BC prevalence, there is a practical need for demographic screening of the disease. In the present study, we re-analyzed a large microRNA (miRNA) expression dataset (GSE73002), with the goal of optimizing miRNA biomarker selection using neural network cascade (NNC) modeling. Our results identified numerous candidate miRNA biomarkers that are technically suitable for BC detection. We combined three miRNAs (miR-1246, miR-6756-5p, and miR-8073) into a single panel to generate an NNC model, which successfully detected BC with 97.1% accuracy in an independent validation cohort comprising 429 BC patients and 895 healthy controls. In contrast, at least seven miRNAs were merged in a multiple linear regression model to obtain equivalent diagnostic performance (96.4% accuracy in the independent validation set). Our findings suggested that suitable modeling can effectively reduce the number of miRNAs required in a biomarker panel without compromising prediction accuracy, thereby increasing the technical possibility of early detection of BC."
8,29676945,J Clin Oncol,42.1,"We have created a new model with which to refine BC risk prediction for women with AH. The AH-BC model demonstrates good discrimination and calibration, and it validates in an external data set.",AH-BC_Mayo,L1-penalized Cox Proportional Hazards Regression,,,,,,development,"Age At Biopsy,age At Biopsy Squared,number Of Foci Of Ah",in recent 10 years,2018,America,USA,Breast Cancer,"Purpose Women with atypical hyperplasia (AH) on breast biopsy have an aggregate increased risk of breast cancer (BC), but existing risk prediction models do not provide accurate individualized estimates of risk in this subset of high-risk women. Here, we used the Mayo benign breast disease cohort to develop and validate a model of BC risk prediction that is specifically for women with AH, which we have designated as AH-BC. Patients and Methods Retrospective cohorts of women age 18 to 85 years with pathologically confirmed benign AH from Rochester, MN, and Nashville, TN, were used for model development and external validation, respectively. Clinical risk factors and histologic features of the tissue biopsy were selected using L1-penalized Cox proportional hazards regression. Identified features were included in a Fine and Gray regression model to estimate BC risk, with death as a competing risk. Model discrimination and calibration were assessed in the model-building set and an external validation set. Results The model-building set consisted of 699 women with AH, 142 of whom developed BC (median follow-up, 8.1 years), and the external validation set consisted of 461 women with 114 later BC events (median follow-up, 11.4 years). The final AH-BC model included three covariates: age at biopsy, age at biopsy squared, and number of foci of AH. At 10 years, the AH-BC model demonstrated good discrimination (0.63 [95% CI, 0.57 to 0.70]) and calibration (0.87 [95% CI, 0.66 to 1.24]). In the external validation set, the model showed acceptable discrimination (0.59 [95% CI, 0.51 to 0.67]) and calibration (0.91 [95% CI, 0.65 to 1.42]). Conclusion We have created a new model with which to refine BC risk prediction for women with AH. The AH-BC model demonstrates good discrimination and calibration, and it validates in an external data set."
9,29676945,J Clin Oncol,42.1,"We have created a new model with which to refine BC risk prediction for women with AH. The AH-BC model demonstrates good discrimination and calibration, and it validates in an external data set.",AH-BC_Nashville,L1-penalized Cox Proportional Hazards Regression,,,,,,validation,"Age At Biopsy,age At Biopsy Squared,number Of Foci Of Ah",in recent 10 years,2018,America,USA,Breast Cancer,"Purpose Women with atypical hyperplasia (AH) on breast biopsy have an aggregate increased risk of breast cancer (BC), but existing risk prediction models do not provide accurate individualized estimates of risk in this subset of high-risk women. Here, we used the Mayo benign breast disease cohort to develop and validate a model of BC risk prediction that is specifically for women with AH, which we have designated as AH-BC. Patients and Methods Retrospective cohorts of women age 18 to 85 years with pathologically confirmed benign AH from Rochester, MN, and Nashville, TN, were used for model development and external validation, respectively. Clinical risk factors and histologic features of the tissue biopsy were selected using L1-penalized Cox proportional hazards regression. Identified features were included in a Fine and Gray regression model to estimate BC risk, with death as a competing risk. Model discrimination and calibration were assessed in the model-building set and an external validation set. Results The model-building set consisted of 699 women with AH, 142 of whom developed BC (median follow-up, 8.1 years), and the external validation set consisted of 461 women with 114 later BC events (median follow-up, 11.4 years). The final AH-BC model included three covariates: age at biopsy, age at biopsy squared, and number of foci of AH. At 10 years, the AH-BC model demonstrated good discrimination (0.63 [95% CI, 0.57 to 0.70]) and calibration (0.87 [95% CI, 0.66 to 1.24]). In the external validation set, the model showed acceptable discrimination (0.59 [95% CI, 0.51 to 0.67]) and calibration (0.91 [95% CI, 0.65 to 1.42]). Conclusion We have created a new model with which to refine BC risk prediction for women with AH. The AH-BC model demonstrates good discrimination and calibration, and it validates in an external data set."
10,30366654,Clin Breast Cancer,2.9," While BI-RADS assessment remains the strongest predictor of breast cancer, the inclusion of clinical risk factors such as age, breast density, presence of a lump, and number of risk triggers derived from guidelines improves the specificity of identifying individuals with imaging descriptors associated with BI-RADS 4A and 4B that are more likely to be diagnosed with breast cancer.",Hsu_2138,Cross-validated Logistic Regression,0.84,more than 0.8,,,,development,"Age,race,body Mass Index, Age At First Live Birth, And Risk Triggers, Bi-rads Score,breast Density,presence Of A Lump",in recent 10 years,2019,America,USA,Breast Cancer,"Purpose: To analyze women with suspicious findings (assessed as Breast Imaging Reporting and Data System [BI-RADS] 4), examining the value of clinical and imaging predictors in predicting cancer diagnosis.
Patients and methods: A set of 2138 examinations (1978 women) given a BI-RADS 4 with matching pathology results were analyzed. Predictors such as patient demographics, clinical risk factors, and imaging-derived features such as BI-RADS assessment and qualitative breast density were considered. Independent predictors of breast cancer were determined by univariate analysis and multivariate logistic regression.
Results: In univariate analysis, age, race, body mass index, age at first live birth, BI-RADS assessment, qualitative breast density, and risk triggers were found to be independent predictors. In multivariate analysis, age, BI-RADS score, breast density, race, presence of a lump, and number of risk triggers were the most predictive. An integrative logistic regression model achieved a performance of 0.84 cross-validated area under the curve. No variable was a constant independent predictor when stratifying the population on the basis of the BI-RADS score.
Conclusion: While BI-RADS assessment remains the strongest predictor of breast cancer, the inclusion of clinical risk factors such as age, breast density, presence of a lump, and number of risk triggers derived from guidelines improves the specificity of identifying individuals with imaging descriptors associated with BI-RADS 4A and 4B that are more likely to be diagnosed with breast cancer."
